product,categories,total_reviews,positive_ratio,avg_rating,bestseller_score
"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","XYZ brand Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",10750,0.808,4.451720930232558,8686.0
"retail brand brand name Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","Walmart for Business,Office Electronics,Tablets,Office,Electronics,iPad & Tablets,Windows Tablets,All Windows Tablets,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers,brand name E-readers,Computers/Tablets & Networking,Tablets & eBook Readers,Electronics Features,Books & Magazines,Book Accessories,eReaders,TVs & Electronics,Computers & Laptops,Tablets & eReaders",2928,0.9293032786885246,4.771857923497268,2721.0
"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Electronics,iPad & Tablets,All Tablets,XYZ brand Tablets,Tablets,Computers & Tablets",2814,0.853589196872779,4.5867093105899075,2402.0
"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,","Stereos,Remote Controls,retail brand Echo,Audio Docks & Mini Speakers,retail brand Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",2526,0.8927157561361837,4.650039588281868,2255.0
"electonics brand Home_x000D_
electonics brand Home","Stereos,Remote Controls,Target Echo,Audio Docks & Mini Speakers,Target Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",2100,0.9023809523809524,4.693333333333333,1895.0
"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","Tablets,XYZ brand Tablets,Computers & Tablets,All Tablets",1437,0.813500347947112,4.521920668058455,1169.0
"
electonics brand Home","Stereos,Remote Controls,Target Echo,Audio Docks & Mini Speakers,Target Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",798,0.8834586466165414,4.637844611528822,705.0
"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,","Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",793,0.8209331651954602,4.515762925598991,651.0
"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,","Walmart for Business,Office Electronics,Tablets,Electronics,iPad & Tablets,All Tablets,Computers & Tablets,E-Readers & Accessories,brand name E-readers,Electronics Features,eBook Readers,See more Target brand name Voyage (Wi-Fi),See more Target brand name Voyage 4GB, Wi-Fi  3G (Unlocked...",332,0.9126506024096386,4.716867469879518,303.0
"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","Stereos,Remote Controls,retail brand Echo,Audio Docks & Mini Speakers,retail brand Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",317,0.9116719242902208,4.728706624605678,289.0
"
electonics brand Home","Electronics Features,XYZ brand Tablets,Computers & Tablets,Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",372,0.7526881720430108,4.424731182795699,280.0
